noAnggota,link_foto,link_profil,nama,fraksi,dapil,akd_clean,ttl,agama,pendidikan,pekerjaan,organisasi,kotaLahir,usia,pendidikan_terakhir,is_kader,is_dewan,usia_kategori,rank_partai,partai
85,http://www.dpr.go.id//doksigota/photo/1411.jpg,http://www.dpr.go.id//blog/profil/id/1411,"HERI GUNAWAN, SE",Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT IV,"['Komisi XI', 'Badan Musyawarah', 'Badan Legislasi']",Sukabumi / 11 April 1969,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD Negeri II Lengkong Besar 105 Bandung. Tahun: 1976 - 1982</li><li>SMP , SMP Mardi Yuana I Sukabumi . Tahun: 1982 - 1985</li><li>SMA , SMA Mardi Yuana Sukabumi. Tahun: 1985 - 1988</li><li>S1 Fakultas Ekonomi, Universitas Kristen Duta Wacana Yogyakarta. Tahun: 1988 - 1994</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Perusahaan Induk, Sebagai: Komisaris. Tahun: 2011 - 2015</li><li>Perusahaan Induk , Sebagai: Executive Vice Prresident  . Tahun: 2006 - 2015</li><li>Lembaga Keuangan Non Bank, Usaha Jasa Pembiayaan , Sebagai: General Manager. Tahun: 2003 - 2006</li><li>Lembaga Keuangan Non Bank, Usaha Jasa Pembiayaan, Sebagai: Pimpinan Kantor Pusat. Tahun: 1992 - 2003</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Fraksi Partai Gerindra DPR RI, Sebagai: Wakil Ketua. Tahun: 2019 - </li><li>Sekretariat Nasional Perkerisan Indonesia, Sebagai: Bendahara Umum. Tahun: 2017 - </li><li>DPN HKTI, Sebagai: Wakil Ketua Umum. Tahun: 2015 - </li><li>Fraksi Partai Gerindra DPR RI, Sebagai: Wakil Bendahara. Tahun: 2014 - 2019</li><li>Pimpinan Pusat Satuan Relawan Indonesia Raya, Sebagai: Anggota Dewan Pembina. Tahun: 2013 - </li><li>DPP Partai Gerindra, Sebagai: Ketua Bidang Perdagangan. Tahun: 2012 - </li><li>DPN HKTI, Sebagai: Bendahara. Tahun: 2010 - 2015</li><li>DPP Partai Gerindra, Sebagai: Ketua Bidang Tani. Tahun: 2010 - 2012</li><li>DPP Partai Gerindra , Sebagai: Bendahara. Tahun: 2008 - 2010</li><li>Yayasan Giri Raharja , Sebagai: Ketua. Tahun: 1999 - </li> </ul>
",Sukabumi,51.0,4_s1,internal,non-dewan,"(49.0, 55.0]",3.0,Gerindra
86,http://www.dpr.go.id//doksigota/photo/1416.jpg,http://www.dpr.go.id//blog/profil/id/1416,"H. FADLI ZON, S.S., M.Sc.",Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT V,"['Badan Kerja Sama Antar Parlemen', 'Komisi I']",Jakarta / 01 Juni 1971,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN Cibeureum 3, Cisarua Bogor, Jabar. Tahun:  - 1984</li><li>SMP , SMPN Cisarua I. Tahun: 1984 - 1986</li><li>SMP , SMP Fajar, Jakarta Timur. Tahun: 1986 - 1987</li><li>SMA , SMAN 31, Jakarta Timur. Tahun: 1987 - 1989</li><li>SMA , Harlandale high School, San Antonio, Texas, AS. Tahun: 1989 - 1990</li><li>S1 Program Studi Rusia, Fakultas Sastra, Universitas Indonesia. Tahun:  - 1997</li><li>S2 Development Studies, London School of Economics and Political Science. Tahun:  - 2003</li><li>S3 Program Studi Sejarah, Fakultas Ilmu Budaya, Universitas Indonesia. Tahun:  - 2010</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Sekretariat Nasional Perkerisan Indonesia (SNKI), Sebagai: Dewan Pembina. Tahun: 2011 - 2016</li><li>Partai Gerindra, Sebagai: Ketua Badan Komunikasi . Tahun: 2010 - skrg</li><li>Himpunan Kerukunan Tani Indonesia (HKTI) , Sebagai: Sekretaris Jenderal. Tahun: 2010 - 2015</li><li>Partai Gerakan Indonesia Raya (GERINDRA), Sebagai: Wakil Ketua Umum. Tahun: 2008 - skrg</li><li>PT Tidar Kerinci Agung, Sebagai: Komisaris. Tahun: 2008 - skrg</li><li>PT Tambang Sungai Suir, Sebagai: Komisaris Utama. Tahun: 2008 - skrg</li><li>Dosen Luar Biasa , Sebagai: Universitas Indonesia. Tahun: 2007 - skrg</li><li>Majalah Tani Merdeka, Sebagai: Dewan Redaksi. Tahun: 2007 - skrg</li><li>PT Padi Nusantara, Sebagai: Direktur. Tahun: 2005 - skrg</li><li>Institute for Policy Studies, Sebagai: Direktur. Tahun: 1997 - skrg</li><li>Jurnal VISI, Sebagai: Pemimpin Redaksi. Tahun: 1997 - skrg</li><li>Majalah Sastra Horison, Sebagai: Dewan Redaksi. Tahun: 1993 - skrg</li><li>Institut Seni Indonesia (ISI), Sebagai: Dewan Penyantun. Tahun:  - 2011</li><li>PT Ramaloka Nusantara, radio FM di Serang, Sebagai: Direktur. Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>ILUNI FIB UI, Sebagai: Ketua Umum. Tahun: 2010 - 2013</li><li>HKTI (Himpunan Kerukunan Tani Indonesia), Sebagai: Sekretaris Jenderal. Tahun: 2010 - 2015</li><li>Badan Pelestarian Pusaka Indonesia (BPPI), Sebagai: Anggota. Tahun: 2010 - skrg</li><li>Dewan Pembina Rumah Puisi Taufiq Ismail di Aie Angek, Sebagai: . Tahun: 2008 - skrg</li><li>Anggota Dewan Pakar Gebu Minang, Sebagai: . Tahun: 2005 - 2009</li><li>Anggota Dewan Gula, Sebagai: . Tahun: 2005 - 2009</li><li>Tim Pengawas Pengadaan Beras Bulog dan Anggota Oversight Committee Impor Beras, Sebagai: Wakil Ketua. Tahun: 2005 - 2008</li><li>HKTI (Himpunan Kerukunan Tani Indonesia), Sebagai: Ketua. Tahun: 2004 - 2010</li><li>Development Studies Institute Alumni Association, LSE, Sebagai: Anggota. Tahun: 2003 - skrg</li><li>Association of the Study of Ethnicity and Nationalism  (ASEN), LSE, Sebagai: Anggota. Tahun: 2002 - skrg</li><li>Globalise Resistance, Sebagai: Anggota. Tahun: 2002 - skrg</li><li>LSE Stop the War Coalition, Sebagai: . Tahun: 2002 - 2003</li><li>KNPI (Komite Nasional Pemuda Indonesia), Sebagai: Pengurus Pusat. Tahun: 1996 - 1999</li><li>ACRP (Asian Conference on Religion and Peace), Sebagai: Anggota. Tahun: 1996 - 1998</li><li>GPI, Sebagai: Ketua. Tahun: 1996 - 1999</li><li>ISAFIS (The Indonesian Student Association for International Studies), Sebagai: Ketua Umum. Tahun: 1994 - 1995</li><li>FDI (Forum Dialog Indonesia), Sebagai: Tim Pelaksana Aktivitas. Tahun: 1994 - 1996</li><li>ISAFIS (The Indonesian Student Association for International Studies), Sebagai: Sekretaris Jenderal. Tahun: 1993 - 1994</li><li>FoDIS (Forum for Development and International Studies), Sebagai: Ketua. Tahun: 1993 - 1996</li><li>Senat Mahasiswa UI, Sebagai: Ketua Komisi Hubungan Luar dan Ketua Komite Mahasiswa UI untuk Hak Asasi Manusia. Tahun: 1993 - 1994</li><li>ISAFIS (The Indonesian Student Association for International Studies), Sebagai: Ketua. Tahun: 1992 - 1993</li><li>Senat Mahasiswa UI, Sebagai: Koordinator advokasi dan demonstrasi mahasiswa UI tentang masalah internasional dan domestik seperti SDSB, DPA, dll. Tahun: 1992 - 1994</li><li>Senat Mahasiswa FSUI, Sebagai: Ketua Departemen Pendidikan. Tahun: 1992 - 1993</li><li>Ikatan Kekerabatan Sastra Slavia (IKASSLAV), Sebagai: . Tahun: 1991 - 1997</li><li>Yayasan BESTARI, Sebagai: Wakil Ketua. Tahun: 1991 - 1994</li><li>Bina Antarbudaya, Sebagai: Volunteer. Tahun: 1990 - 1992</li><li>AFS International, Sebagai: Returnee. Tahun: 1989 - 1990</li><li>AFS International, Sebagai: Group leader dan ketua angkatan AFS Indonesia North Hemisphere. Tahun: 1989 - 1990</li><li>National Honor Society for Secondary School, AS, Sebagai: Anggota. Tahun: 1989 - 1990</li><li>Academic Decathlon Harlandale High School Region IV Texas, Sebagai: Ketua Tim. Tahun: 1989 - 1990</li><li>Bidang IPTEK OSIS SMAN 31, Sebagai: Sekretaris. Tahun: 1988 - 1989</li><li>Kelompok Ilmiah Remaja (KIR) SMA Negeri 31, Sebagai: Ketua. Tahun: 1988 - 1989</li><li>Senat Mahasiswa UI, Sebagai: Juru Bicara Komite Solidaritas Mahasiswa UI untuk Bosnia. Tahun:  - 1992</li><li>Senat Mahasiswa FSUI, Sebagai: Sekretaris Umum. Tahun:  - 1993</li> </ul>
",Jakarta,49.0,6_s3,eksternal,non-dewan,"(44.0, 49.0]",3.0,Gerindra
87,http://www.dpr.go.id//doksigota/photo/1891.jpg,http://www.dpr.go.id//blog/profil/id/1891,"Drs. H. MULYADI, MMA.",Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT V,"['Badan Anggaran', 'Komisi V']",Bogor / 02 Nopember 1970,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN 01 JONGGOL. Tahun: 1978 - 1984</li><li>SMP , SMPN 01 JONGGOL. Tahun: 1984 - 1987</li><li>SMA , SMA KESATUAN BOGOR . Tahun: 1987 - 1990</li><li>S1 ADMINISTRASI NIAGA , PARAHYANGAN,BANDUNG . Tahun: 1990 - 1995</li><li>S2 MM AGRIBISNIS, INSTITUT PERTANIAN BOGOR . Tahun:  - 2004</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>DELMONT INVESTMENT PRIVATE LTD, Sebagai: MANAGING DIRECTOR. Tahun: 2016 - </li><li>PT.ELYON COAL PERDANA , Sebagai: KOMISARIS UTAMA . Tahun: 2016 - </li><li>PT.INFINITI WAHANA , Sebagai: ASSOCIATE DIRECTOR. Tahun: 2014 - </li><li>PT.SULTAN SINERGI INDONESIA , Sebagai: DIREKTUR UTAMA . Tahun: 2014 - </li><li>PT.ZEBRA NUSANTARA TBK, Sebagai: DIREKTUR UTAMA . Tahun: 2014 - </li><li>PT.ZEBRA NUSANTARA TBK, Sebagai: KOMISARIS UTAMA. Tahun: 2011 - 2012</li><li>PT.SURABAYA ARTHA UTAMA , Sebagai: KOMISARIS . Tahun: 2009 - 2011</li><li>PT.ZEBRA NUSANTARA TBK, Sebagai: DIREKTUR UTAMA . Tahun: 2009 - 2011</li><li>PT.ZEBRA ENERGI,SURABAYA, Sebagai: KOMISARIS. Tahun: 2009 - 2010</li><li>PT.INFINITI WAHANA , Sebagai: ASSOCIATE DIRECTOR. Tahun: 2009 - 2012</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>DPD PARTAI GERINDRA JAWA BARAT, Sebagai: DEWAN PENASIHAT . Tahun: 2018 - </li><li>DPD PARTAI GERINDRA JAWA BARAT , Sebagai: KETUA DPD. Tahun: 2016 - 2018</li><li>DPP PARTAI GERINDRA , Sebagai: KETUA BIDANG PERBANKAN . Tahun: 2014 - </li><li>DPP HIPPI, Sebagai: KETUA BIDANG TRANSPORTASI DAN KOMUNIKASI . Tahun: 2004 - 2007</li><li>DKM MESJID AGUNG NURUL TAQWA JONGGOL, Sebagai: KETUA UMUM. Tahun: 2002 - 2008</li><li>DPP KOSGORO, Sebagai: ANGGOTA PENGURUS. Tahun: 1997 - 1998</li> </ul>
",Bogor,50.0,5_s2,internal,non-dewan,"(49.0, 55.0]",3.0,Gerindra
88,http://www.dpr.go.id//doksigota/photo/157.jpg,http://www.dpr.go.id//blog/profil/id/157,Ir. NUROJI,Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT VI,['Komisi X'],Depok / 09 September 1962,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD Negeri Ciganjur. Tahun:  - 1973</li><li>SMP , SMP Negeri 41. Tahun:  - 1976</li><li>SMA , SMA Negeri 28. Tahun:  - 1981</li><li>S1 Teknologi Indutri Pertanian, Institut Pertanian Bogor (IPB). Tahun:  - 198</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>nggota Fraksi Partai Gerindra DPR RI Periode 2009=2014, Sebagai: . Tahun: 2009 - 2014</li><li>PT Bina Cipta kawan Sejahtera Jakarta, Sebagai: . Tahun: 2007 - 2007</li><li>Majalah Tani Merdeka Jakarta, Sebagai: . Tahun: 2007 - 2009</li><li>Harian Jurnal Nasional Jakarta, Sebagai: . Tahun: 2006 - 2007</li><li>PT Camilla Production Jakarta, Sebagai: . Tahun: 2005 - 2006</li><li>PT Mantarena Abadi Jakarta, Sebagai: . Tahun: 2000 - 2005</li><li>PT Garda Media Mandiri (Majalah Gamma), Sebagai: . Tahun: 1998 - 2000</li><li>PT Era Mdia Informasi (Majalah Gatra), Sebagai: . Tahun: 1994 - 1998</li><li>PT Grafiti Pers Jakarta, Sebagai: . Tahun: 1985 - 1994</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Partai Gerindra, Sebagai: Pengurus. Tahun: 2008 - 2009</li><li>Karang Taruna, Sebagai: Pengurus. Tahun: 1980 - Now</li><li>Partai Demokrasi Indonesia, Sebagai: Anggota. Tahun: 1980 - 1987</li><li>Perguruan Pencak Silat, Sebagai: Anggotaq. Tahun: 1980 - 1984</li> </ul>
",Depok,58.0,4_s1,internal,dewan,"(55.0, 61.0]",3.0,Gerindra
89,http://www.dpr.go.id//doksigota/photo/1892.jpg,http://www.dpr.go.id//blog/profil/id/1892,OBON TABRONI,Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT VII,"['Komisi IX', 'Badan Legislasi']",Bekasi / 27 Oktober 1972,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN KARANG JAYA . Tahun:  - </li><li>SMP , SMPN PEBAYURAN . Tahun:  - </li><li>SMA , . Tahun:  - </li><li>SMA , SMA 3 KARAWANG. Tahun:  - </li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>PT MTSUSHITA KOTABUKI INDONESIA , Sebagai: OPERATOR MESIN . Tahun: 1991 - 2008</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>FEDERASI SERIKAT PEKERJA METAL INDONESIA , Sebagai: DEPUTY PRESIDEN . Tahun: 2016 - 2021</li><li>SERIKAT PEKERJA ANEKA INDUSTRI (SPAI FSPMI) , Sebagai: KETUA UMUM . Tahun: 2011 - 2016</li><li>JAMKES WATCH (PENGAWAS PELAKSANAAN BPJS KESEHATAN ), Sebagai: PENGGAGAS &amp; PEMBINA . Tahun: 2011 - -</li> </ul>
",Bekasi,48.0,2_sma,eksternal,non-dewan,"(44.0, 49.0]",3.0,Gerindra
90,http://www.dpr.go.id//doksigota/photo/168.jpg,http://www.dpr.go.id//blog/profil/id/168,drg. PUTIH SARI,Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT VII,"['Komisi IX', 'Badan Anggaran']",Jakarta / 20 Juli 1984,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , 1.	SDN 13 Pagi Lubang Buaya Jakarta. Tahun: 1990 - 1996</li><li>SMP , 2.	SMPN 81 Lubang Buaya Jakarta	. Tahun: 1996 - 1999</li><li>SMA , 3.	SMAN 42 Jakarta. Tahun: 1999 - 2002</li><li>S1 Kedokteran Gigi, . Tahun:  - </li><li>S1 Kedokteran Gigi, 4.  Universitas Trisakti Jakarta	. Tahun: 2002 - 2006</li><li>S2 Kedokteran Gigi , 5.	Universitas Trisakti Jakarta	. Tahun: 2006 - 2011</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>DPR RI, Sebagai: 	Anggota Komisi IX . Tahun: 2009 - 2014</li><li>DPR RI, Sebagai: 	Anggota BURT. Tahun: 2009 - 2011</li><li>DPR RI, Sebagai: 	Anggota. Tahun: 2009 - 2014</li><li>DPR RI, Sebagai: 	Wakil Ketua BURT . Tahun:  - 2014</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Bidang Pariwisata DPP Partai Gerindra, Sebagai: Ketua . Tahun: 2012 - 2015</li><li>Perempuan Indonesia Raya (PIRA), Sebagai: Bendahara . Tahun: 2011 - 2015</li><li>Pemuda Demokrat Indonesia	, Sebagai: Sekjend . Tahun: 2011 - 2015</li> </ul>
",Jakarta,36.0,5_s2,internal,dewan,"(23.0, 44.0]",3.0,Gerindra
91,http://www.dpr.go.id//doksigota/photo/1428.jpg,http://www.dpr.go.id//blog/profil/id/1428,"Dr. Ir. H. KARDAYA WARNIKA, DEA",Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT VIII,"['Badan Anggaran', 'Komisi VII']",Cirebon / 17 Agustus 1952,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD Negeri Arjawinangun II Cirebon. Tahun: 1958 - 1963</li><li>SMP , SMP Negeri Arjawinangun. Tahun: 1963 - 1967</li><li>SMA IPA, . Tahun: 1968 - 1970</li><li>S1 Teknologi Perminyakan, Institut Teknologi Bandung (ITB). Tahun: 1971 - 1978</li><li>S2 Ekonomi Energi, ENSPM Perancis. Tahun: 1984 - 1985</li><li>S3 Ekonomi energi, UNIU De Bourgogne Perancis. Tahun: 1985 - 1987</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Kementerian ESDM, Sebagai: Dirjen EBTKE. Tahun: 2011 - 2012</li><li>Kementerian ESDM, Sebagai: Staf Ahli Menteri. Tahun: 2008 - 2011</li><li>BP Migas, Sebagai: Kepala. Tahun: 2005 - 2008</li><li>BP Migas, Sebagai: Wakil Kepala. Tahun: 2002 - 2005</li><li>Departemen ESDM, Sebagai: Staf Ahli Menteri. Tahun: 2001 - 2002</li><li>Departemen Pertambangan dan Energi, Sebagai: Direktur EP Migas. Tahun: 1999 - 2001</li><li>Departemen Pertambangan dan Energi, Sebagai: Kasubdit Teknologi EK. Tahun: 1994 - 1999</li><li>Depertemen Pertambangan dan Energi, Sebagai: Kasi pemasaran. Tahun: 1990 - 1994</li><li>Departemen Pertambangan dan Energi, Sebagai: Kasi Pengolahan. Tahun: 1988 - 1990</li><li>Pertamina, Sebagai: Asisten Eksploitasi. Tahun: 1978 - 1982</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Ikatan Sarjana nahdatul Ulama (NU), Sebagai: Dewan Pakar. Tahun: 2010 - 2015</li><li>Persatuan insinyur Indonesia (PII), Sebagai: Dewan Pakar. Tahun: 2008 - </li><li>Ikatan Ahli Teknik Perminyakan, Sebagai: Ketua. Tahun: 2003 - 2005</li> </ul>
",Cirebon,68.0,6_s3,eksternal,non-dewan,"(61.0, 81.0]",3.0,Gerindra
92,http://www.dpr.go.id//doksigota/photo/1893.jpg,http://www.dpr.go.id//blog/profil/id/1893,"H. JEFRI ROMDONNY, S.E., S.Sos., M.Si., M..M.",Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT IX,"['Komisi VIII', 'Badan Urusan Rumah Tangga']",Majalengka / 08 Agustus 1980,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
",Majalengka,40.0,0_no_data,eksternal,non-dewan,"(23.0, 44.0]",3.0,Gerindra
93,http://www.dpr.go.id//doksigota/photo/1894.jpeg,http://www.dpr.go.id//blog/profil/id/1894,"ARDHYA PRATIWI S., S.E.",Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT X,"['Komisi XI', 'Badan Anggaran']",Bogor / 06 Juli 1988,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN PENGADEGAN 07 PAGI. Tahun:  - 1999</li><li>SMP , SLTPN 154 JAKARTA. Tahun: 1999 - 2002</li><li>SMA , SMA NEGERI 8 JAKARTA . Tahun: 2002 - 2005</li><li>S1 EKONOMI , UNIVERSITAS INDONESIA. Tahun: 2005 - 2009</li><li>S2 BUSINESS DEVELOPMENT, GRENOBLE GRADUATE SCHOOL OF BUSINESS. Tahun: 2011 - 2013</li><li>S3 , BOCCONI UNIVERSITY. Tahun: 2016 - 2021</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>UNIVERSITAS TRISAKTI , Sebagai: DOSEN . Tahun: 2014 - 2016</li><li>CITIBANK, Sebagai: FUND ACCOUNTANT . Tahun: 2010 - 2010</li><li>PT. DARMAWAN METAL MEKANIKAL , Sebagai: MANGER OPERASIONAL . Tahun: 2009 - 2010</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>CBH PANDU BANGSA , Sebagai: WAKIL KETUA . Tahun: 2014 - </li> </ul>
",Bogor,32.0,6_s3,eksternal,non-dewan,"(23.0, 44.0]",3.0,Gerindra
94,http://www.dpr.go.id//doksigota/photo/1895.jpg,http://www.dpr.go.id//blog/profil/id/1895,"MUHAMMAD HUSEIN FADLULLOH, B.Bus., M.M., MBA.",Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT XI,['Komisi VI'],Bandung  / 15 Agustus 1987,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
",Bandung ,33.0,0_no_data,eksternal,non-dewan,"(23.0, 44.0]",3.0,Gerindra
95,http://www.dpr.go.id//doksigota/photo/1438.jpg,http://www.dpr.go.id//blog/profil/id/1438,"H. SUBARNA, SE, M.Si",Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT XI,['Komisi VII'],Tasikmalaya / 16 Mei 1968,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SD I Cibalong. Tahun: 1975 - 1981</li><li>SMP , SMP I Cibalong. Tahun: 1981 - 1984</li><li>SMA , SMA Margahayu Bandung. Tahun: 1984 - 1987</li><li>S1 Ekonomi Manajemen, Universitas Siliwangi Tasikmalaya. Tahun: 1987 - 1992</li><li>S2 Adminsitrasi Negara, Universitas Garut. Tahun: 2000 - 2004</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>Dewan Pengawas PDAM, Sebagai: Anggota. Tahun: 2012 - 2013</li><li>DPRD Kabupaten Tasikmalaya, Sebagai: Ketua Fraksi. Tahun: 2009 - 2011</li><li>DPRD Kabupaten Tasikmalaya, Sebagai: Ketua Komisi II. Tahun: 2004 - 2009</li><li>DPRD Kabupaten Tasikmalaya, Sebagai: Wakil Ketua Komisi II. Tahun: 2002 - 2004</li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Presidium Tasik Selatan, Sebagai: Ketua Umum. Tahun: 2011 - 2015</li><li>HMI Tasikmalaya, Sebagai: Anggota. Tahun: 2011 - 2015</li><li>GMPI Pusat, Sebagai: Bendahara Umum. Tahun: 2009 - 2011</li><li>PBVSI Kabupaten Tasikmalaya, Sebagai: Ketua Umum. Tahun: 2006 - 2011</li><li>GMPI Provinsi Jawa Barat, Sebagai: Ketua Umum. Tahun: 2004 - 2009</li><li>KNPI Kabupaten Tasikmalaya, Sebagai: Sekretaris. Tahun: 2002 - 2008</li><li>FKPPI Kabupaten Tasikmalaya, Sebagai: Pembina. Tahun: 2002 - 2015</li><li>HNSI Kabupaten Tasikmalaya, Sebagai: Pembina. Tahun: 2002 - 2015</li><li>Pemuda Panca Marga, Sebagai: Pembina. Tahun: 2002 - 2015</li><li>GMPI Kabupaten Tasikmalaya, Sebagai: Ketua. Tahun: 1998 - 2004</li> </ul>
",Tasikmalaya,52.0,5_s2,eksternal,dewan,"(49.0, 55.0]",3.0,Gerindra
96,http://www.dpr.go.id//doksigota/photo/2028.jpg,http://www.dpr.go.id//blog/profil/id/2028,MULAN JAMEELA alias R.WULANSARI,Fraksi Partai Gerakan Indonesia Raya,JAWA BARAT XI,"['Komisi II', 'Komisi VII', 'Badan Kerja Sama Antar Parlemen']",GARUT / 23 Agustus 1979,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , SDN MALANGBONG. Tahun: 1985 - 1991</li><li>SMP , SMP NEGERI MALANGBONG . Tahun: 1991 - 1994</li><li>SMA , SMUN 1 MALANGBONG. Tahun: 1994 - 1997</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li><font color=""red""><i>Data tidak ditemukan.</i></font></li> </ul>
",GARUT,41.0,2_sma,eksternal,non-dewan,"(23.0, 44.0]",3.0,Gerindra
97,http://www.dpr.go.id//doksigota/photo/2029.jpg,http://www.dpr.go.id//blog/profil/id/2029,SUGIONO,Fraksi Partai Gerakan Indonesia Raya,JAWA TENGAH I,"['Badan Anggaran', 'Badan Musyawarah', 'Panitia Khusus', 'Komisi I']",,,,,,,,0_no_data,no_data,no_data,nan,3.0,Gerindra
98,http://www.dpr.go.id//doksigota/photo/190_ABDUL_WACHID.jpg,http://www.dpr.go.id//blog/profil/id/190,ABDUL WACHID,Fraksi Partai Gerakan Indonesia Raya,JAWA TENGAH II,['Komisi VIII'],Jepara  / 12 Mei 1961,Islam,"
<div class=""stitle"">Riwayat Pendidikan</div>
<ul class=""custom-button"">
<li>SD , . Tahun: 1968 - 1974</li><li>SMP , . Tahun: 1974 - 1977</li><li>SMA , . Tahun: 1977 - 1980</li> </ul>
","
<div class=""stitle"">Riwayat Pekerjaan</div>
<ul class=""custom-button"">
<li>PT Sarana Makmur Sejahtera, Sebagai: Direktur Utama/Komisaris. Tahun: 2009 - </li><li>PT Tiara Mas  Abadi, Sebagai: Direktur Utama/Komisaris. Tahun: 2009 - </li> </ul>
","
<div class=""stitle"">Riwayat Organisasi</div>
<ul class=""custom-button"">
<li>Asosiasi Petani Tebu Rakyat Indonesia (APTRI), Sebagai: Ketua Umum. Tahun: 2009 - </li><li>Himpunan Kerukunan Tani Indonesia (HKTI) Jawa Tengah, Sebagai: Ketua. Tahun: 2009 - </li><li>DPD Partai Gerindra Jawa Tengah, Sebagai: Ketua. Tahun: 2008 - 2015</li> </ul>
",Jepara ,59.0,2_sma,internal,non-dewan,"(55.0, 61.0]",3.0,Gerindra
